# year,month,meanlogprice,sdlogprice
1995,1,10.93812,0.6040504
1995,2,10.92117,0.5802486
1995,3,10.92295,0.5735283
1995,4,10.95053,0.5816948
1995,5,10.94535,0.5728031
1995,6,10.95623,0.5766896
1995,7,10.97869,0.5916829
1995,8,10.98072,0.5956915
1995,9,10.95316,0.5890454
1995,10,10.93619,0.6001551
1995,11,10.93169,0.5945025
1995,12,10.95265,0.5850288
1996,1,10.9344,0.6189975
1996,2,10.92398,0.5946625
1996,3,10.92282,0.5940875
1996,4,10.9626,0.6058298
1996,5,10.9723,0.5871087
1996,6,10.99221,0.5904098
1996,7,11.0142,0.6072053
1996,8,11.03166,0.6041438
1996,9,11.01759,0.6039777
1996,10,11.00285,0.6084499
1996,11,11.00671,0.5933194
1996,12,11.02944,0.5944929
1997,1,11.01404,0.6254452
1997,2,11.01195,0.6092367
1997,3,11.00922,0.6024218
1997,4,11.04458,0.615543
1997,5,11.06151,0.6029457
1997,6,11.07792,0.6082613
1997,7,11.09831,0.6249183
1997,8,11.09961,0.6146676
1997,9,11.09398,0.6290211
1997,10,11.07694,0.622923
1997,11,11.07797,0.6222293
1997,12,11.09436,0.6293
1998,1,11.08605,0.6456154
1998,2,11.06987,0.6371948
1998,3,11.08539,0.6445382
1998,4,11.12236,0.6403059
1998,5,11.12776,0.630165
1998,6,11.14476,0.6390435
1998,7,11.15587,0.6453146
1998,8,11.16837,0.6469558
1998,9,11.16068,0.648586
1998,10,11.12794,0.6424103
1998,11,11.12801,0.6414116
1998,12,11.14349,0.6394318
1999,1,11.1371,0.6538512
1999,2,11.13505,0.6510607
1999,3,11.158,0.6547893
1999,4,11.18536,0.6444278
1999,5,11.19935,0.6453504
1999,6,11.24025,0.6548224
1999,7,11.25699,0.6639156
1999,8,11.27248,0.6658878
1999,9,11.28421,0.6749669
1999,10,11.26022,0.6588434
1999,11,11.26742,0.6629982
1999,12,11.27693,0.6693382
2000,1,11.27487,0.7028463
2000,2,11.26188,0.6912904
2000,3,11.28034,0.7001099
2000,4,11.30862,0.6929083
2000,5,11.31529,0.6891834
2000,6,11.32369,0.6895819
2000,7,11.33813,0.7063393
2000,8,11.34681,0.7094376
2000,9,11.32502,0.7031031
2000,10,11.32034,0.7104552
2000,11,11.33115,0.7138839
2000,12,11.34737,0.6979601
2001,1,11.34258,0.7277274
2001,2,11.33797,0.7128817
2001,3,11.34949,0.711379
2001,4,11.40157,0.7077211
2001,5,11.41245,0.6986085
2001,6,11.43414,0.6942448
2001,7,11.45206,0.7139409
2001,8,11.46963,0.7038591
2001,9,11.4618,0.7128089
2001,10,11.43606,0.7059829
2001,11,11.42334,0.6988382
2001,12,11.45801,0.7033017
2002,1,11.44066,0.7260052
2002,2,11.43998,0.71923
2002,3,11.47343,0.7089401
2002,4,11.51754,0.7122871
2002,5,11.54115,0.7000485
2002,6,11.59822,0.7079963
2002,7,11.61636,0.7205918
2002,8,11.63879,0.7147557
