Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
15, 25, 8.08948247436, 8.25260892014, 0.0
15, 25, 8.25260892014, 8.41573536592, 0.00829842760539
15, 25, 8.41573536592, 8.57886181171, 0.00272074672914
15, 25, 8.57886181171, 8.74198825749, 0.0441209672321
15, 25, 8.74198825749, 8.90511470327, 0.0175346528546
15, 25, 8.90511470327, 9.06824114905, 0.0379013593938
15, 25, 9.06824114905, 9.23136759483, 0.0321377542746
15, 25, 9.23136759483, 9.39449404062, 0.0392923310812
15, 25, 9.39449404062, 9.5576204864, 0.0816772553055
15, 25, 9.5576204864, 9.72074693218, 0.098316222285
15, 25, 9.72074693218, 9.88387337796, 0.104377240898
15, 25, 9.88387337796, 10.0469998237, 0.0753804354443
15, 25, 10.0469998237, 10.2101262695, 0.135049620512
15, 25, 10.2101262695, 10.3732527153, 0.0927790108329
15, 25, 10.3732527153, 10.5363791611, 0.0928273019809
15, 25, 10.5363791611, 10.6995056069, 0.0493137077865
15, 25, 10.6995056069, 10.8626320527, 0.0193582857367
15, 25, 10.8626320527, 11.0257584984, 0.0263456147102
15, 25, 11.0257584984, 11.1888849442, 0.0149802045718
15, 25, 11.1888849442, 11.35201139, 0.00833660694099
15, 25, 11.35201139, 11.5151378358, 0.0140951316205
15, 25, 11.5151378358, 11.6782642816, 0.00256216917916
15, 25, 11.6782642816, 11.8413907273, 0.0
15, 25, 11.8413907273, 12.0045171731, 0.0
15, 25, 12.0045171731, 12.1676436189, 0.0025949530249
25, 35, 8.08948247436, 8.25260892014, 0.00288005748746
25, 35, 8.25260892014, 8.41573536592, 0.00179126972803
25, 35, 8.41573536592, 8.57886181171, 0.00192855540736
25, 35, 8.57886181171, 8.74198825749, 0.000887047531776
25, 35, 8.74198825749, 8.90511470327, 0.00800708366699
25, 35, 8.90511470327, 9.06824114905, 0.00891718965408
25, 35, 9.06824114905, 9.23136759483, 0.0131089441079
25, 35, 9.23136759483, 9.39449404062, 0.0145683571434
25, 35, 9.39449404062, 9.5576204864, 0.0244846935294
25, 35, 9.5576204864, 9.72074693218, 0.0335919623897
25, 35, 9.72074693218, 9.88387337796, 0.0554477950018
25, 35, 9.88387337796, 10.0469998237, 0.0599905853576
25, 35, 10.0469998237, 10.2101262695, 0.0652622934713
25, 35, 10.2101262695, 10.3732527153, 0.105484778737
25, 35, 10.3732527153, 10.5363791611, 0.105983243935
25, 35, 10.5363791611, 10.6995056069, 0.108197558956
25, 35, 10.6995056069, 10.8626320527, 0.0878741183963
25, 35, 10.8626320527, 11.0257584984, 0.101088266803
25, 35, 11.0257584984, 11.1888849442, 0.0763635452236
25, 35, 11.1888849442, 11.35201139, 0.0496961566973
25, 35, 11.35201139, 11.5151378358, 0.0312180729955
25, 35, 11.5151378358, 11.6782642816, 0.0222884569248
25, 35, 11.6782642816, 11.8413907273, 0.0103381289903
25, 35, 11.8413907273, 12.0045171731, 0.00885771385422
25, 35, 12.0045171731, 12.1676436189, 0.00174412401046
35, 45, 8.08948247436, 8.25260892014, 0.00113479816343
35, 45, 8.25260892014, 8.41573536592, 0.00168448663406
35, 45, 8.41573536592, 8.57886181171, 0.00441466562345
35, 45, 8.57886181171, 8.74198825749, 0.00356884289372
35, 45, 8.74198825749, 8.90511470327, 0.00949845769384
35, 45, 8.90511470327, 9.06824114905, 0.00880381969895
35, 45, 9.06824114905, 9.23136759483, 0.0148649655623
35, 45, 9.23136759483, 9.39449404062, 0.0149348517011
35, 45, 9.39449404062, 9.5576204864, 0.0236504049596
35, 45, 9.5576204864, 9.72074693218, 0.0403322342057
35, 45, 9.72074693218, 9.88387337796, 0.0521521973575
35, 45, 9.88387337796, 10.0469998237, 0.0527733852425
35, 45, 10.0469998237, 10.2101262695, 0.0763455541147
35, 45, 10.2101262695, 10.3732527153, 0.0865458868834
35, 45, 10.3732527153, 10.5363791611, 0.0915617508385
35, 45, 10.5363791611, 10.6995056069, 0.106584647303
35, 45, 10.6995056069, 10.8626320527, 0.101652555337
35, 45, 10.8626320527, 11.0257584984, 0.0909335678773
35, 45, 11.0257584984, 11.1888849442, 0.0720974979918
35, 45, 11.1888849442, 11.35201139, 0.055690544935
35, 45, 11.35201139, 11.5151378358, 0.0378200104072
35, 45, 11.5151378358, 11.6782642816, 0.0188819775142
35, 45, 11.6782642816, 11.8413907273, 0.0182635827047
35, 45, 11.8413907273, 12.0045171731, 0.00892117963589
35, 45, 12.0045171731, 12.1676436189, 0.00688813472142
45, 55, 8.08948247436, 8.25260892014, 0.00207843536158
45, 55, 8.25260892014, 8.41573536592, 0.00424666173123
45, 55, 8.41573536592, 8.57886181171, 0.00179978825281
45, 55, 8.57886181171, 8.74198825749, 0.00523690904558
45, 55, 8.74198825749, 8.90511470327, 0.00685986892293
