# Price Mark-Up (lower edge), Price Mark-Up (upper edge), Probability
0.5, 0.525, 8.31389279910293e-05
0.525, 0.55, 7.852009865819434e-05
0.55, 0.575, 8.065186604258007e-05
0.575, 0.6, 8.988952470824962e-05
0.6, 0.625, 0.00011795779526932363
0.625, 0.65, 0.00013216957783189275
0.65, 0.675, 0.0001854637624415269
0.675, 0.7, 0.00022099321884795067
0.7, 0.725, 0.0003105274489921351
0.725, 0.75, 0.0004235111203645595
0.75, 0.775, 0.0006558737652625644
0.775, 0.8, 0.0009706647490234702
0.8, 0.825, 0.0015092913081448465
0.825, 0.8500000000000001, 0.0023257582163644245
0.8500000000000001, 0.875, 0.0036847599239101226
0.875, 0.9, 0.006029348752169946
0.9, 0.925, 0.010592041543882758
0.925, 0.95, 0.017031400222982898
0.95, 0.9750000000000001, 0.026328393080851355
0.9750000000000001, 1.0, 0.20639416521055146
1.0, 1.025, 0.44679606020963875
1.025, 1.05, 0.06964661692068994
1.05, 1.0750000000000002, 0.06074293514524043
1.0750000000000002, 1.1, 0.04476356212645225
1.1, 1.125, 0.032578735051869506
1.125, 1.15, 0.022072319497926183
1.15, 1.175, 0.015629763167749375
1.175, 1.2000000000000002, 0.008809884010536553
1.2000000000000002, 1.225, 0.00604675818580912
1.225, 1.25, 0.004136694609399822
1.25, 1.275, 0.002927271913325186
1.275, 1.3, 0.0020390355031645944
1.3, 1.3250000000000002, 0.0014922371690697502
1.3250000000000002, 1.35, 0.0011145590474694875
1.35, 1.375, 0.0007681468475068639
1.375, 1.4, 0.0006217654871124013
1.4, 1.425, 0.0004576193985147234
1.425, 1.4500000000000002, 0.000347122789090749
1.4500000000000002, 1.475, 0.0002746426980216493
1.475, 1.5, 0.00023058617207768483
1.5, 1.5250000000000001, 0.00019328024285093906
1.5250000000000001, 1.55, 0.00015171077885542595
1.55, 1.575, 0.00012897192675531525
1.575, 1.6, 0.00010161424532236868
1.6, 1.625, 9.415305947702078e-05
1.625, 1.6500000000000001, 6.111066501904691e-05
1.6500000000000001, 1.675, 7.283538563316702e-05
1.675, 1.7000000000000002, 6.146595958311113e-05
1.7000000000000002, 1.725, 5.0807122661184795e-05
1.725, 1.75, 4.654358789241404e-05
1.75, 1.7750000000000001, 3.908240204706488e-05
1.7750000000000001, 1.8, 3.837181291893677e-05
1.8, 1.8250000000000002, 3.5174161842358395e-05
1.8250000000000002, 1.85, 2.842356512513835e-05
1.85, 1.875, 3.4463572714230246e-05
1.875, 1.9000000000000001, 2.5581208612624284e-05
1.9000000000000001, 1.925, 2.4870619484496053e-05
1.925, 1.9500000000000002, 1.954120102353244e-05
1.9500000000000002, 1.975, 2.5225914048560287e-05
1.975, 2.0, 2.5936503176688745e-05
