# Price Mark-Up (lower edge), Price Mark-Up (upper edge), Probability
0.5, 0.525, 6.569661827254673e-05
0.525, 0.55, 5.016832668085386e-05
0.55, 0.575, 5.470736576150278e-05
0.575, 0.6, 5.44684689677842e-05
0.6, 0.625, 6.306875354164485e-05
0.625, 0.65, 7.644697398987255e-05
0.65, 0.675, 9.460313031246728e-05
0.675, 0.7, 0.00011634273854083781
0.7, 0.725, 0.00014405476661216607
0.725, 0.75, 0.00021500711434651657
0.75, 0.775, 0.00031152141900873064
0.775, 0.8, 0.0004101857948144099
0.8, 0.825, 0.0005958086035335718
0.825, 0.8500000000000001, 0.0008146380665795756
0.8500000000000001, 0.875, 0.0011156480266647075
0.875, 0.9, 0.0016147034287423395
0.9, 0.925, 0.0024439141997387383
0.925, 0.95, 0.004034250155521823
0.95, 0.9750000000000001, 0.009969163201866773
0.9750000000000001, 1.0, 0.161246974372108
1.0, 1.025, 0.41128973689818416
1.025, 1.05, 0.12324900595044055
1.05, 1.0750000000000002, 0.08755758607212526
1.0750000000000002, 1.1, 0.06015684052301214
1.1, 1.125, 0.0407130304822754
1.125, 1.15, 0.02766185974464807
1.15, 1.175, 0.01936091285331629
1.175, 1.2000000000000002, 0.012545187328531748
1.2000000000000002, 1.225, 0.00869321542661714
1.225, 1.25, 0.006175243220825701
1.25, 1.275, 0.00446115872589652
1.275, 1.3, 0.0032112507011620695
1.3, 1.3250000000000002, 0.002350266656601134
1.3250000000000002, 1.35, 0.0018086876252416486
1.35, 1.375, 0.0013065265648456714
1.375, 1.4, 0.0010251061418454519
1.4, 1.425, 0.0008122490986423922
1.425, 1.4500000000000002, 0.0006667609512679167
1.4500000000000002, 1.475, 0.0005320231596107716
1.475, 1.5, 0.0004383756164731774
1.5, 1.5250000000000001, 0.00037817362445614916
1.5250000000000001, 1.55, 0.0003053101023720549
1.55, 1.575, 0.0002544250853100457
1.575, 1.6, 0.00020831800412240175
1.6, 1.625, 0.0001765447305578627
1.625, 1.6500000000000001, 0.00015480512232949123
1.6500000000000001, 1.675, 0.00014190469546870155
1.675, 1.7000000000000002, 0.00012207626159007717
1.7000000000000002, 1.725, 0.00010702576358582207
1.725, 1.75, 8.910850405694558e-05
1.75, 1.7750000000000001, 7.573028360871717e-05
1.7750000000000001, 1.8, 7.190793490922419e-05
1.8, 1.8250000000000002, 6.521882468510974e-05
1.8250000000000002, 1.85, 5.542405614265785e-05
1.85, 1.875, 5.542405614265785e-05
1.875, 1.9000000000000001, 5.542405614265736e-05
1.9000000000000001, 1.925, 4.156804210699339e-05
1.925, 1.9500000000000002, 3.440113829544249e-05
1.9500000000000002, 1.975, 4.945163629969903e-05
1.975, 2.0, 5.136281064944585e-05
