Date,HPI
Feb-91,0.98
Mar-91,0.98
Apr-91,0.98
May-91,0.98
Jun-91,0.98
Jul-91,0.97
Aug-91,0.97
Sep-91,0.97
Oct-91,0.97
Nov-91,0.97
Dec-91,0.96
Jan-92,0.95
Feb-92,0.94
Mar-92,0.94
Apr-92,0.93
May-92,0.93
Jun-92,0.93
Jul-92,0.93
Aug-92,0.93
Sep-92,0.91
Oct-92,0.9
Nov-92,0.9
Dec-92,0.89
Jan-93,0.9
Feb-93,0.9
Mar-93,0.9
Apr-93,0.92
May-93,0.9
Jun-93,0.91
Jul-93,0.91
Aug-93,0.91
Sep-93,0.91
Oct-93,0.91
Nov-93,0.91
Dec-93,0.92
Jan-94,0.92
Feb-94,0.92
Mar-94,0.93
Apr-94,0.92
May-94,0.91
Jun-94,0.91
Jul-94,0.91
Aug-94,0.91
Sep-94,0.91
Oct-94,0.92
Nov-94,0.92
Dec-94,0.92
Jan-95,0.91
Feb-95,0.91
Mar-95,0.91
Apr-95,0.91
May-95,0.91
Jun-95,0.9
Jul-95,0.9
Aug-95,0.9
Sep-95,0.9
Oct-95,0.9
Nov-95,0.9
Dec-95,0.9
Jan-96,0.91
Feb-96,0.91
Mar-96,0.92
Apr-96,0.93
May-96,0.93
Jun-96,0.94
Jul-96,0.94
Aug-96,0.95
Sep-96,0.95
Oct-96,0.97
Nov-96,0.97
Dec-96,0.98
Jan-97,0.98
Feb-97,0.99
Mar-97,0.99
Apr-97,1
May-97,1.01
Jun-97,1.02
Jul-97,1.03
Aug-97,1.04
Sep-97,1.05
Oct-97,1.05
Nov-97,1.06
Dec-97,1.06
Jan-98,1.07
Feb-98,1.08
Mar-98,1.08
Apr-98,1.09
May-98,1.1
Jun-98,1.1
Jul-98,1.11
Aug-98,1.11
Sep-98,1.11
Oct-98,1.12
Nov-98,1.12
Dec-98,1.13
Jan-99,1.14
Feb-99,1.14
Mar-99,1.15
Apr-99,1.15
May-99,1.17
Jun-99,1.18
Jul-99,1.2
Aug-99,1.22
Sep-99,1.22
Oct-99,1.25
Nov-99,1.26
Dec-99,1.28
Jan-00,1.3
Feb-00,1.31
Mar-00,1.32
Apr-00,1.33
May-00,1.33
Jun-00,1.33
Jul-00,1.33
Aug-00,1.33
Sep-00,1.35
Oct-00,1.35
Nov-00,1.36
Dec-00,1.36
Jan-01,1.38
Feb-01,1.39
Mar-01,1.4
Apr-01,1.42
May-01,1.43
Jun-01,1.45
Jul-01,1.47
Aug-01,1.48
Sep-01,1.5
Oct-01,1.5
Nov-01,1.52
Dec-01,1.56
Jan-02,1.58
Feb-02,1.59
Mar-02,1.6
Apr-02,1.63
May-02,1.68
Jun-02,1.72
Jul-02,1.75
Aug-02,1.77
Sep-02,1.83
Oct-02,1.88
Nov-02,1.91
Dec-02,1.93
Jan-03,1.96
Feb-03,1.99
Mar-03,2.02
Apr-03,2.02
May-03,2.05
Jun-03,2.07
Jul-03,2.09
Aug-03,2.12
Sep-03,2.14
Oct-03,2.18
Nov-03,2.21
Dec-03,2.25
Jan-04,2.28
Feb-04,2.34
Mar-04,2.38
Apr-04,2.42
May-04,2.46
Jun-04,2.49
Jul-04,2.52
Aug-04,2.52
Sep-04,2.54
Oct-04,2.53
Nov-04,2.54
Dec-04,2.55
Jan-05,2.56
Feb-05,2.56
Mar-05,2.56
Apr-05,2.57
May-05,2.57
Jun-05,2.57
Jul-05,2.58
Aug-05,2.6
Sep-05,2.61
Oct-05,2.63
Nov-05,2.64
Dec-05,2.66
Jan-06,2.67
Feb-06,2.69
Mar-06,2.72
Apr-06,2.75
May-06,2.75
Jun-06,2.75
Jul-06,2.77
Aug-06,2.79
Sep-06,2.83
Oct-06,2.86
Nov-06,2.91
Dec-06,2.91
Jan-07,2.94
Feb-07,2.98
Mar-07,2.99
Apr-07,3.03
May-07,3.04
Jun-07,3.06
Jul-07,3.07
Aug-07,3.08
Sep-07,3.08
Oct-07,3.1
Nov-07,3.06
Dec-07,3.07
Jan-08,3.06
Feb-08,3.04
Mar-08,2.99
Apr-08,2.95
May-08,2.87
Jun-08,2.83
Jul-08,2.78
Aug-08,2.73
Sep-08,2.68
Oct-08,2.64
Nov-08,2.61
Dec-08,2.54
Jan-09,2.55
Feb-09,2.5
Mar-09,2.5
Apr-09,2.47
May-09,2.52
Jun-09,2.53
Jul-09,2.56
Aug-09,2.59
Sep-09,2.62
Oct-09,2.64
Nov-09,2.67
Dec-09,2.68
Jan-10,2.7
Feb-10,2.67
Mar-10,2.7
Apr-10,2.72
May-10,2.71
Jun-10,2.7
Jul-10,2.71
Aug-10,2.7
Sep-10,2.66
Oct-10,2.66
Nov-10,2.65
Dec-10,2.65
Jan-11,2.65
Feb-11,2.64
Mar-11,2.66
Apr-11,2.64
May-11,2.65
Jun-11,2.66
Jul-11,2.67
Aug-11,2.65
Sep-11,2.65
Oct-11,2.66
Nov-11,2.65
Dec-11,2.64
Jan-12,2.64
Feb-12,2.64
Mar-12,2.65
Apr-12,2.63
May-12,2.63
Jun-12,2.63
Jul-12,2.61
Aug-12,2.63
Sep-12,2.62
Oct-12,2.62
Nov-12,2.64
Dec-12,2.65
Jan-13,2.65
Feb-13,2.66
Mar-13,2.67
Apr-13,2.68
May-13,2.69
Jun-13,2.7
Jul-13,2.73
Aug-13,2.75
Sep-13,2.77
Oct-13,2.8
Nov-13,2.82
Dec-13,2.85
Jan-14,2.87
Feb-14,2.92
Mar-14,2.92
Apr-14,2.92
May-14,2.99
Jun-14,3
Jul-14,3.02
Aug-14,3.03
Sep-14,3.03
Oct-14,3.04
Nov-14,3.05
Dec-14,3.07
Jan-15,3.1
Feb-15,3.1
Mar-15,3.1
Apr-15,3.1
