# Monthly Employment Income (lower edge), Monthly Employment Income (upper edge), Rental Bid Fraction
0.0, 200.0, 0.5448
200.0, 400.0, 0.5448
400.0, 600.0, 0.5448
600.0, 800.0, 0.5448
800.0, 1000.0, 0.5448
1000.0, 1200.0, 0.5448
1200.0, 1400.0, 0.3918
1400.0, 1600.0, 0.3918
1600.0, 1800.0, 0.3108
1800.0, 2000.0, 0.3108
2000.0, 2200.0, 0.2715
2200.0, 2400.0, 0.2715
2400.0, 2600.0, 0.2416
2600.0, 2800.0, 0.2416
2800.0, 3000.0, 0.2117
3000.0, 3200.0, 0.2117
3200.0, 3400.0, 0.1912
3400.0, 3600.0, 0.1912
3600.0, 3800.0, 0.1912
3800.0, 4000.0, 0.1912
4000.0, 4200.0, 0.1683
4200.0, 4400.0, 0.1683
4400.0, 4600.0, 0.1683
4600.0, 4800.0, 0.1683
4800.0, 5000.0, 0.1683
5000.0, 5200.0, 0.1683
5200.0, 5400.0, 0.1683
5400.0, 5800.0, 0.1229
5800.0, 6000.0, 0.1229
