Date,RPI (England)
Jan-05,0.815201796
Feb-05,0.816155153
Mar-05,0.816620007
Apr-05,0.818287338
May-05,0.819813144
Jun-05,0.821099977
Jul-05,0.823041196
Aug-05,0.825132512
Sep-05,0.827304856
Oct-05,0.828496552
Nov-05,0.829932534
Dec-05,0.832404068
Jan-06,0.83540016
Feb-06,0.836600836
Mar-06,0.838044211
Apr-06,0.839657144
May-06,0.841252598
Jun-06,0.842378408
Jul-06,0.844168753
Aug-06,0.84566617
Sep-06,0.847264889
Oct-06,0.847919434
Nov-06,0.849833627
Dec-06,0.851531709
Jan-07,0.854044423
Feb-07,0.855578329
Mar-07,0.857547715
Apr-07,0.85993027
May-07,0.861525124
Jun-07,0.863449102
Jul-07,0.865811566
Aug-07,0.868815516
Sep-07,0.871511498
Oct-07,0.874073288
Nov-07,0.876922456
Dec-07,0.880062701
Jan-08,0.884713841
Feb-08,0.885870954
Mar-08,0.887859075
Apr-08,0.889612104
May-08,0.891664207
Jun-08,0.894140903
Jul-08,0.89594429
Aug-08,0.89804127
Sep-08,0.900395196
Oct-08,0.90355782
Nov-08,0.906467833
Dec-08,0.908802733
Jan-09,0.910900172
Feb-09,0.911979788
Mar-09,0.911712972
Apr-09,0.912627764
May-09,0.912824164
Jun-09,0.912577266
Jul-09,0.911555309
Aug-09,0.910652439
Sep-09,0.909560692
Oct-09,0.907741018
Nov-09,0.906274938
Dec-09,0.904317227
Jan-10,0.902593124
Feb-10,0.901160558
Mar-10,0.900739141
Apr-10,0.900427143
May-10,0.900975234
Jun-10,0.901284315
Jul-10,0.902031672
Aug-10,0.903474447
Sep-10,0.904820064
Oct-10,0.906541162
Nov-10,0.908426653
Dec-10,0.910737792
Jan-11,0.914271646
Feb-11,0.915642767
Mar-11,0.91736528
Apr-11,0.919221791
May-11,0.921214235
Jun-11,0.922813805
Jul-11,0.924788846
Aug-11,0.927072456
Sep-11,0.929913371
Oct-11,0.931996925
Nov-11,0.934424399
Dec-11,0.937629801
Jan-12,0.940239025
Feb-12,0.94214572
Mar-12,0.943469885
Apr-12,0.946296034
May-12,0.948452799
Jun-12,0.950199674
Jul-12,0.952427981
Aug-12,0.954257621
Sep-12,0.957244191
Oct-12,0.959363571
Nov-12,0.960775214
Dec-12,0.962846734
Jan-13,0.964489409
Feb-13,0.965783917
Mar-13,0.966805211
Apr-13,0.968419924
May-13,0.970228112
Jun-13,0.97153576
Jul-13,0.973165241
Aug-13,0.97511192
Sep-13,0.976035254
Oct-13,0.976919794
Nov-13,0.978883702
Dec-13,0.979618494
Jan-14,0.981200942
Feb-14,0.981429971
Mar-14,0.982742222
Apr-14,0.983892364
May-14,0.985073669
Jun-14,0.986288607
Jul-14,0.987827619
Aug-14,0.988856761
Sep-14,0.990155572
Oct-14,0.992055349
Nov-14,0.994241545
Dec-14,0.996860503
Jan-15,1
Feb-15,1.001651542
Mar-15,1.003624675
Apr-15,1.006070528
May-15,1.009283564
Jun-15,1.011123668
Jul-15,1.012397912
Aug-15,1.016445503
Sep-15,1.017649165
Oct-15,1.019697897
Nov-15,1.02218565
Dec-15,1.023442254
Jan-16,1.027366306
Feb-16,1.029207072
Mar-16,1.031307728
Apr-16,1.033995238
May-16,1.035907924
Jun-16,1.036890958
Jul-16,1.038358424
Aug-16,1.041192652
Sep-16,1.043138612
Oct-16,1.045220148
Nov-16,1.047049149
Dec-16,1.048980146
Jan-17,1.051364626
Feb-17,1.052434668
Mar-17,1.052940314
Apr-17,1.054325974
May-17,1.05537269
Jun-17,1.056223254
Jul-17,1.058214133
Aug-17,1.059159603
Sep-17,1.060152534
Oct-17,1.061177815
Nov-17,1.06189973
Dec-17,1.06235137
Jan-18,1.063284093
Feb-18,1.064153699
Mar-18,1.064413811
Apr-18,1.065132337
May-18,1.065802623
Jun-18,1.066533418
Jul-18,1.067709399
Aug-18,1.068962374
Sep-18,1.07021305
Oct-18,1.070929874
Nov-18,1.072022514
Dec-18,1.073517388
Jan-19,1.074465717
Feb-19,1.075773133
Mar-19,1.076922524
Apr-19,1.077888835
May-19,1.07971173
Jun-19,1.080757273
Jul-19,1.082208268
Aug-19,1.082812365
Sep-19,1.084315717
Oct-19,1.085608664
Nov-19,1.087219264
Dec-19,1.088871456
